title,authors,year,journal,doi,labels,appears_in_multiple_labels,downloaded
EXPLORING THE SOIL-ASSOCIATED BACTERIAL MICROBIOME OF COFFEE PLANTATIONS IN DIFFERENT REGIONS OF COLOMBIA: A METABARCODING APPROACH,"Gómez-Godínez, L.J. and Ochoa, V. and Faggioli, V. and Cristancho, M.",2024,Tropical and Subtropical Agroecosystems,10.56369/tsaes.5196,coffee_general,False,no
"Agricultural Productivity and Multidimensional Poverty Reduction in Colombia: An Analysis of Coffee, Plantain, and Corn Crops","Betancourt, J.A. and Florez-Yepes, G.Y. and Garcés-Gómez, Y.A.",2024,Earth (Switzerland),10.3390/earth5040032,coffee_general,False,no
Increasing the Additional Value of Coffee Cultivation Results in Brebes Regency with a Value Chain Analysis Approach,"Rastuti, U. and Yunanto, A. and Jatmiko, D.P.",2022,Quality - Access to Success,10.47750/QAS/23.188.13,coffee_general,False,no
Agricultural zoning of Coffea arabica in Brazil for current and future climate scenarios: implications for the coffee industry,"Lorençone, J.A. and de Oliveira Aparecido, L.E. and Lorençone, P.A. and Torsoni, G.B. and de Lima, R.F. and da Silva Cabral de Moraes, J.R. and de Souza Rolim, G.",2025,"Environment, Development and Sustainability",10.1007/s10668-023-04066-3,coffee_general,False,no
Sensory quality of coffea arabica l. Genotypes influenced by postharvest processing,"Barbosa, I.P. and de Oliveira, A.C.B. and Rosado, R.D.S. and Sakiyama, N.S. and Cruz, C.D. and Pereira, A.A.",2019,Crop Breeding and Applied Biotechnology,10.1590/1984-70332019v19n4a60,coffee_general,False,no
Comparative seed physiological ecology in Coffea species highlights variation in germination strategies associated with climate and phylogeny,"Baschenis, N. and Dussert, S. and Seguin, M. and Lashermes, P. and Joët, T.",2026,Annals of Botany,10.1093/aob/mcaf291,coffee_general,False,no
Physicochemical and sensory analysis of mangrove seed coffee (Sonneratia ovata) compare with robusta coffee from Indonesian origin,"Suryono, M.",2024,Food Research,10.26656/fr.2017.8(3).409,coffee_general,False,no
"Comparative genome-wide characterization and evolutionary insights into the AP2/ERF gene family in three Coffea species (C. canephora, C. eugenioides, and C. arabica)","Park, S. and Ahn, E. and Zhang, D. and Meinhardt, L.W.",2025,BMC Genomics,10.1186/s12864-025-11850-0,coffee_general,False,no
"Agro-Morphological Traits, Proximate Composition, and Phenotypic Plasticity of Coffea arabica in Contrasting and Very Close Environments in Northern Peru","García, L. and Veneros, J. and Bolaños-Carriel, C. and Guadalupe, G.A. and Garcia, H. and Mori-Zabarburú, R.C. and Chavez, S.G.",2025,Agronomy,10.3390/agronomy15112465,coffee_general,False,no
"Molecular Identification, Phytochemical Profiling, and Organoleptic Evaluation of Arabica Coffee (Coffea arabica) from Timor Leste","Jesus, J.A.D. and Wirawan, I.G.P. and Suada, I.K. and Kartini, N.L. and Wijaya, I.N. and Dwiyani, R. and Darmawati, I.A.P. and Trigunasih, N.M. and Dewi, N.K.E.S.",2025,Tropical Journal of Natural Product Research,10.26538/tjnpr/v9i8.34,coffee_general,False,no
"A Comparative Study of Phenolic Compounds, and the Antioxidant Properties of Arabica Coffee Beans (Coffea arabica) and Robusta Coffee Beans (Coffea canephora) and Their By-Products","Himri, C. and Belkhiri, C. and Azizi, S.E. and Loukili, E.H. and Rahhou, I. and Legssyer, M. and Legssyer, B.",2025,Tropical Journal of Natural Product Research,10.26538/tjnpr/v9i8.17,coffee_general,False,no
Chemical and Biological Characterization of Green and Processed Coffee Beans from Coffea arabica Varieties,"Gallardo-Ignacio, J. and Santibáñez, A. and Oropeza-Mariano, O. and Salazar, R. and Montiel-Ruiz, R.M. and Cabrera-Hilerio, S. and Gonzáles-Cortazar, M. and Cruz-Sosa, F. and Nicasio-Torres, P.",2023,Molecules,10.3390/molecules28124685,coffee_general,False,no
"Coffee bean processing: Emerging methods and their effects on chemical, biological and sensory properties","Febrianto, N.A. and Zhu, F.",2023,Food Chemistry,10.1016/j.foodchem.2023.135489,coffee_general,False,no
Different elevation affects the biochemical composition and regulatory patterns of polyphenol compounds in (Coffea arabica),"Zaman, S. and Li, Z. and Dong, Y. and Luo, G. and Shan, Z. and Zhang, C.",2025,Beverage Plant Research,10.48130/bpr-0025-0020,coffee_general,False,no
